"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://img.vembu.com/wp-content/uploads/2017/08/IOT-Infographics-2.png,https://www.vembu.com/blog/predictions-iot-infographic/,file14_IOT-Infographics-2.png,"generic IoT",20800000000000,,,2020,2017,company,MariaMarg/20190113-1500
https://img.vembu.com/wp-content/uploads/2017/08/IOT-Infographics-2.png,https://www.vembu.com/blog/predictions-iot-infographic/,file14_IOT-Infographics-2.png,,,value,267000000000,2020,2017,company,MariaMarg/20190113-1500
