"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://cloudtweaks.com/wp-content/uploads/2016/03/Evolution-IoT-e1459247957268.jpg,https://cloudtweaks.com/2016/03/iot-infographic-evolving-internet-things/,file7_Evolution-IoT-e1459247957268.jpg,"generic IoT",6400000000,,,2016,2015,company,MariaMarg/20190102-1800
https://cloudtweaks.com/wp-content/uploads/2016/03/Evolution-IoT-e1459247957268.jpg,https://cloudtweaks.com/2016/03/iot-infographic-evolving-internet-things/,file7_Evolution-IoT-e1459247957268.jpg,,,spending,235000000000,2016,2015,company,MariaMarg/20190102-1800
