"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://i.pinimg.com/236x/fb/03/e3/fb03e391aff8022e6fc90012fdefa1f7--internet-of-things-the-future.jpg,https://www.pinterest.de/markveyret/top-iot-infographics/,file5_fb03e391aff8022e6fc90012fdefa1f7--internet-of-things-the-future.jpg,,,investment,6500000000,2020,2017,company,MariaMarg/20181218-2100
https://i.pinimg.com/236x/fb/03/e3/fb03e391aff8022e6fc90012fdefa1f7--internet-of-things-the-future.jpg,https://www.pinterest.de/markveyret/top-iot-infographics/,file5_fb03e391aff8022e6fc90012fdefa1f7--internet-of-things-the-future.jpg,,,spending,471000000000,2020,2017,company,MariaMarg/20181218-2100
