"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://www.swim.ai/hs-fs/hubfs/Infographics/Swim_Trends%20&%20Spend%20of%20IOT%20Manufacturing_Infographic.jpg,https://www.swim.ai/resources/infographic-manufacturing-iot-trends,file5_Swim_Trends20&20Spend20of20IOT20Manufacturing_Infographic.jpg,,,,,,,,MariaMarg/20181118-1800
