"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://pbs.twimg.com/media/DL07oBmWsAIlvjT.png,https://twitter.com/ipfconline1/status/917955460891897856,file2_DL07oBmWsAIlvjT.png,"Generic IoT",25000000000,,,2020,2017,blogger,JinlinHolic/20181126-1800
https://pbs.twimg.com/media/DL07oBmWsAIlvjT.png,https://twitter.com/ipfconline1/status/917955460891897856,file2_DL07oBmWsAIlvjT.png,,,revenue,7100000000000,2020,2017,blogger,
