"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://i.pinimg.com/564x/f7/d8/cc/f7d8cc6acca039a18b936174991ee65a.jpg,https://de.surveymonkey.com/curiosity/,file4_f7d8cc6acca039a18b936174991ee65a.jpg,"Generic Iot",50000000000,,,2020,unknown,company,JinlinHolic/20190115-1500
https://i.pinimg.com/564x/f7/d8/cc/f7d8cc6acca039a18b936174991ee65a.jpg,https://de.surveymonkey.com/curiosity/,file4_f7d8cc6acca039a18b936174991ee65a.jpg,,,value,6200000000,2025,unknown,company,JinlinHolic/20190115-1500
