"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://www.niftyreads.com/wp-content/uploads/2016/03/Internet_of_Things_iot.jpg,http://www.niftyreads.com/iot-infographics/,file1_Internet_of_Things_iot.jpg,Vehicles,25000000,,,2020,2016,bloger,JinlinHolic/20181118-0000
https://www.niftyreads.com/wp-content/uploads/2016/03/Internet_of_Things_iot.jpg,http://www.niftyreads.com/iot-infographics/,file1_Internet_of_Things_iot.jpg,,,"value ",11100000000000,2020,2016,bloger,
