"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://www.gsma.com/iot/wp-content/uploads/2018/08/Infographic-stat-header.png,https://www.gsma.com/iot/the-gsma-iot-infographic/,file9_Infographic-stat-header.png,,,revenue,1100000000000,2025,2018,company,marielledemuth/20181223-1200
https://www.gsma.com/iot/wp-content/uploads/2018/08/Infographic-stat-header.png,https://www.gsma.com/iot/the-gsma-iot-infographic/,file9_Infographic-stat-header.png,"generic IoT",25000000000,,,2025,2018,company,marielledemuth/20181223-1200
https://www.gsma.com/iot/wp-content/uploads/2018/08/Infographic-stat-header.png,https://www.gsma.com/iot/the-gsma-iot-infographic/,file9_Infographic-stat-header.png,"generic IoT",9100000000,,,2018,2018,company,marielledemuth/20181223-1200
