"IoTNumb3rs Datenerfassung",,,,,,,,,,,
,,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder",
http://www.totalcustomer.org/wp-content/uploads/2014/03/Internet-of-Retail-Infographic_mr-840px-FINAL.jpg,http://www.totalcustomer.org/2014/03/10/infographic-internet-retail-supply-chain/,file10_Internet-of-Retail-Infographic_mr-840px-FINAL.jpg,,,,,,,,marielledemuth/20181123-1500,N/A
