"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://www.experfy.com/uploads/ckeditor/pictures/209/content_image2.jpg,https://www.experfy.com/blog/industrial-iot-and-the-rise-of-smart-manufacturing,file3_content_image2.jpg,,,"global IoT investment/year",55000000000,2019,2017,consultant,marielledemuth/20181122-1507
,,,,,"global IoT investment/year",70000000000,2020,2017,consultant,marielledemuth/20181122-1507
