"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://sandrc.s3.amazonaws.com/s3fs-public/SmartCities_Infographic.jpg,https://www.smartresilient.com/infographic-how-iot-enriches-smart-city-ecosystem,file9_file8_SIM-For-Things.jpg,"smart city",3300000000,,,2018,2017,journalist,marielledemuth/20181118-1200
,,,,,"industry size",400000000000/year,2020,2017,journalist,marielledemuth/20181118-1200
