"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://i.pinimg.com/564x/35/62/e3/3562e31258f865e58a5d9b4ee742f2ce.jpg,https://www.scoop.it/t/quantified-self-sensors,file10_3562e31258f865e58a5d9b4ee742f2ce.jpg,,,"wearable size",19000000000,2020,2017,scientist,marielledemuth/20181123-1805
https://i.pinimg.com/564x/35/62/e3/3562e31258f865e58a5d9b4ee742f2ce.jpg,https://www.scoop.it/t/quantified-self-sensors,file10_3562e31258f865e58a5d9b4ee742f2ce.jpg,,,"wearable revenue",1200000000000,2020,2017,scientist,marielledemuth/20181123-1805
https://i.pinimg.com/564x/35/62/e3/3562e31258f865e58a5d9b4ee742f2ce.jpg,https://www.scoop.it/t/quantified-self-sensors,file10_3562e31258f865e58a5d9b4ee742f2ce.jpg,wearable,24000000000,,,2020,2017,scientist,marielledemuth/20181123-1805
