"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
http://www.nomorecubes.net/wp-content/uploads/2016/01/traininginfographicconnectedthings650.jpg,https://www.nomorecubes.net/category/ieee/,file5_traininginfographicconnectedthings650.jpg,vehicles,250000000,,,2020,2017,company,Pattoho/20181216-1809
http://www.nomorecubes.net/wp-content/uploads/2016/01/traininginfographicconnectedthings650.jpg,https://www.nomorecubes.net/category/ieee/,file5_traininginfographicconnectedthings650.jpg,device,50000000000,,,2020,,,Pattoho/20181216-1809
