"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://i1.wp.com/informationmatters.net/wp-content/uploads/2016/04/IoT-forecast-comparisons.jpg,http://www.woodsidecap.com/wp-content/uploads/2015/03/WCP-IOT-M_and_A-REPORT-2015-3.pdf,file11_IoT-forecast-comparisons.jpg,device(Cisco),50000000000,,,2020,---------,company,Pattoho/20190115-1503
https://i1.wp.com/informationmatters.net/wp-content/uploads/2016/04/IoT-forecast-comparisons.jpg,http://www.woodsidecap.com/wp-content/uploads/2015/03/WCP-IOT-M_and_A-REPORT-2015-3.pdf,file11_IoT-forecast-comparisons.jpg,device(IDC),32000000000,,,2020,---------,company,Pattoho/20190115-1503
https://i1.wp.com/informationmatters.net/wp-content/uploads/2016/04/IoT-forecast-comparisons.jpg,http://www.woodsidecap.com/wp-content/uploads/2015/03/WCP-IOT-M_and_A-REPORT-2015-3.pdf,file11_IoT-forecast-comparisons.jpg,device(Gartner),26000000000,,,2020,---------,company,Pattoho/20190115-1503
